"filename", "language", "HTML", "PHP", "CSS", "JavaScript", "XML", "SCSS", "Less", "JSON", "Python", "pip requirements", "comment", "blank", "total"
"e:\Mis doumentos\Desktop\Universidad\Tesis\HCM_2carriles.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 786, 0, 31, 96, 913
"e:\Mis doumentos\Desktop\Universidad\Tesis\Sensibilidad.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 300, 0, 26, 13, 339
"e:\Mis doumentos\Desktop\Universidad\Tesis\capacidad_NS.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 396, 0, 83, 45, 524
"e:\Mis doumentos\Desktop\Universidad\Tesis\data.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"e:\Mis doumentos\Desktop\Universidad\Tesis\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 814, 0, 13, 50, 877
"e:\Mis doumentos\Desktop\Universidad\Tesis\multicarril.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 407, 0, 28, 55, 490
"e:\Mis doumentos\Desktop\Universidad\Tesis\peatones.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 361, 0, 41, 22, 424
"e:\Mis doumentos\Desktop\Universidad\Tesis\pr.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\Mis doumentos\Desktop\Universidad\Tesis\prueba.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 10, 25
"e:\Mis doumentos\Desktop\Universidad\Tesis\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 91
"e:\Mis doumentos\Desktop\Universidad\Tesis\sensibilidad_2_carriles.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 19, 11, 206
"e:\Mis doumentos\Desktop\Universidad\Tesis\sensibilidad_peatones.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 282, 0, 34, 3, 319
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\css\style.css", "CSS", 0, 0, 1807, 0, 0, 0, 0, 0, 0, 0, 84, 338, 2229
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\js\main.js", "JavaScript", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 60, 26, 297
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\aos\aos.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\aos\aos.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
